Date,UK EQUITY,EUR EQUITY,NA EQUITY,ASIA EQUITY,JPN EQUITY,EM EQUITY,WORLD EQUITY EX UK,ABSOLUTE RETURN,PROPERTY,GILTS,GBP CREDIT,LIBOR,LIBOR PLUS 3,GLOBAL AGG,GLOBAL IG,EM DEBT,GLOBAL HY,GBP NON-GILTS BBB 1-5YRS
30/04/2013,0.005775962,0.013902055,-0.008793022,0.001532535,0.061732878,-0.018064072,0.006286151,0.011785874,0.005101799,0.007638313,0.021607362,0.000420317,0.002920317,-0.008235205,0.000992969,0.005099168,0.022868983,0.017455166
31/05/2013,0.028704079,0.017954762,0.043809632,-0.024520896,-0.035351888,-0.006018478,0.021974152,0.00381053,0.005666905,-0.022249186,-0.012315999,0.000421358,0.002921358,-0.006748303,-0.000630239,-0.015025673,-0.008627312,-0.000529773
30/06/2013,-0.051185573,-0.051094329,-0.018485133,-0.066098543,0.012951313,-0.071088336,-0.025055595,-0.023084071,0.007571984,-0.027356179,-0.037863991,0.000425317,0.002925317,-0.012216445,-0.025165468,-0.052323019,-0.027638385,-0.018724746
31/07/2013,0.065624652,0.070998322,0.050706012,0.018751171,0.008857573,0.008175766,0.04987473,0.00708796,0.00780242,0.009006683,0.023022179,0.0004238,0.0029238,0.011484163,0.016096304,0.009969586,0.021705962,0.01670263
31/08/2013,-0.022376888,-0.037417084,-0.049271884,-0.031073345,-0.041380666,-0.038763791,-0.044374906,-0.010448856,0.009115912,-0.016728499,-0.009809765,0.000429167,0.002929167,-0.025073058,-0.025997907,-0.046726632,-0.005889874,-0.001044699
30/09/2013,0.011097333,0.032536604,-0.014787215,0.009602607,0.03199217,0.015839932,0.001830379,0.005773766,0.011441842,0.006560884,0.008604303,0.00043125,0.00293125,-0.025323464,-0.026031814,-0.018273469,0.017529928,0.006531916
31/10/2013,0.041964494,0.053659794,0.049526562,0.053518555,0.007305657,0.054650353,0.046327126,0.013299837,0.011195536,0.006426053,0.016650761,0.000428125,0.002928125,0.018660202,0.021957333,0.034536873,0.024296236,0.013000183
30/11/2013,-0.007024501,-0.010153212,0.004143913,-0.032027023,-0.008015325,-0.0349164,-0.002410189,0.012603554,0.014500118,-0.007813662,-0.004283127,0.000435158,0.002935158,-0.027695168,-0.020427258,-0.036750214,0.004565981,0.001848937
31/12/2013,0.018195862,0.003688281,0.013113309,-0.025793674,-0.000419647,-0.027819391,0.006859694,0.00779731,0.02041331,-0.01764614,-0.012229793,0.000437758,0.002937758,-0.018909441,-0.012346749,-0.012063822,0.008566377,-0.001492165
31/01/2014,-0.031047256,-0.034809576,-0.028434764,-0.046506689,-0.03391699,-0.061780111,-0.031312045,0.003360045,0.011353489,0.022914773,0.021718941,0.000434375,0.002934375,0.018582384,0.015289501,-0.003780123,0.001000362,0.009307897
28/02/2014,0.051087852,0.050918498,0.023309515,0.025326876,-0.022028808,0.015205391,0.029118823,0.006301866,0.011072154,0.001416533,0.003940544,0.0004349,0.0029349,-0.002700767,-3.76317E-05,0.015713596,0.02404185,0.004425061
31/03/2014,-0.026394259,0.00117609,0.011863708,0.018457307,-0.014200438,0.031606055,0.005408482,-0.007592855,0.015560449,0.000835801,0.001178135,0.000435158,0.002935158,0.002311861,0.003524459,0.015342129,0.003195405,0.001327154
30/04/2014,0.02138597,-0.00368994,-0.006285066,-0.002529901,-0.036585612,-0.010811182,-0.006321886,-0.000516863,0.013097001,0.006279028,0.010697216,0.000439217,0.002939217,-0.000142019,0.001889621,0.00402281,0.009627336,0.007204758
31/05/2014,0.013576213,0.011858249,0.026994606,0.033538195,0.042687293,0.038227427,0.023508677,0.012714485,0.015547998,0.009217315,0.011552277,0.000442192,0.002942192,0.012707719,0.013982692,0.037639931,0.008565238,0.005695378
30/06/2014,-0.012850328,-0.024304678,0.002643809,-0.00674664,0.03480887,0.002555787,-0.002126628,-0.000127624,0.020691491,-0.007033013,-0.002585267,0.000460417,0.002960417,-0.013272908,-0.01450847,-0.013737229,0.010424853,-0.000295906
31/07/2014,-0.002994699,-0.040342089,-0.002082416,0.044068919,0.018536041,0.026934557,-0.004334966,0.016958139,0.015721438,0.005435105,0.002145553,0.000466358,0.002966358,0.004700176,0.006299057,0.013934225,-0.014250921,0.001519414
